Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha)
1,Aleu,2014.0,,publică stat,46.655855555555554,22.634177777777776,750.0,1050.0,Bihor,OS Sudrigiu,II,23B,4191.0,19.49,,
2,Aleu,2014.0,,publică stat,46.65258611111111,22.638719444444444,800.0,1250.0,Bihor,OS Sudrigiu,II,27A,1343.0,30.49,,
3,Aleu,2014.0,,publică stat,46.6499,22.639983333333333,840.0,1250.0,Bihor,OS Sudrigiu,II,28A,4114.0,21.44,,
4,Aleu,2014.0,,publică stat,46.619930555555555,22.67148611111111,710.0,960.0,Bihor,OS Sudrigiu,II,86B,4183.0,17.12,,
5,Aleu,2014.0,,publică stat,46.62578888888889,22.674533333333333,790.0,1250.0,Bihor,OS Sudrigiu,II,87A,1343.0,22.24,,
6,Aleu,2014.0,,publică stat,46.632130555555555,22.668919444444445,1100.0,1350.0,Bihor,OS Sudrigiu,II,87D,4181.0,13.54,,
7,Aleu,2014.0,,publică stat,46.63247222222222,22.67302777777778,890.0,1350.0,Bihor,OS Sudrigiu,II,88A,4181.0,8.52,,
8,Aleu,2014.0,,publică stat,46.57369444444445,22.73742777777778,1150.0,1350.0,Bihor,OS Sudrigiu,II,164B,4181.0,29.34,,
9,Aleu,2014.0,,publică stat,46.63305,22.675002777777777,1100.0,1400.0,Bihor,OS Sudrigiu,II,89A,4182.0,11.96,,
10,Aleu,2014.0,,publică stat,46.629711111111114,22.677033333333334,860.0,1200.0,Bihor,OS Sudrigiu,II,89D,4182.0,8.23,,
11,Aleu,2014.0,,publică stat,46.632552777777775,22.686983333333334,1200.0,1400.0,Bihor,OS Sudrigiu,II,90C,1153.0,16.48,,
12,Aleu,2014.0,,publică stat,46.62515,22.686747222222223,950.0,1300.0,Bihor,OS Sudrigiu,II,92A,4141.0,19.05,,
13,Aleu,2014.0,,publică stat,46.62371944444445,22.680880555555557,850.0,1100.0,Bihor,OS Sudrigiu,II,92E,4151.0,5.12,,
14,Aleu,2014.0,,publică stat,46.622308333333336,22.680280555555555,800.0,1100.0,Bihor,OS Sudrigiu,II,93A,4141.0,10.18,,
15,Aleu,2014.0,,publică stat,46.620383333333336,22.675180555555556,800.0,910.0,Bihor,OS Sudrigiu,II,93B,4141.0,3.59,,
16,Aleu,2014.0,,publică stat,46.62255833333333,22.687591666666666,1100.0,1300.0,Bihor,OS Sudrigiu,II,94C,4141.0,5.39,,
17,Aleu,2014.0,,publică stat,46.61006666666667,22.685175,700.0,1050.0,Bihor,OS Sudrigiu,II,101A,4181.0,22.11,,
18,Aleu,2014.0,,publică stat,46.61133888888889,22.690575,1000.0,1350.0,Bihor,OS Sudrigiu,II,101B,4112.0,27.92,,
19,Aleu,2014.0,,publică stat,46.60713611111111,22.681444444444445,670.0,1000.0,Bihor,OS Sudrigiu,II,102A,4112.0,15.8,,
20,Aleu,2014.0,,publică stat,46.60391666666667,22.689947222222223,890.0,1400.0,Bihor,OS Sudrigiu,II,102B,4112.0,20.46,,
