Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha),geometry,tree_cover,loss_year
53,Olteana,2011,,publica stat,45.32405556,22.53846111,1210.0,1425.0,Caras Severin,O.S. Oțelu Rosu,VII,67A,1321.0,20.6,,,POINT (22.53846111 45.32405556),96,0
54,Olteana,2011,,publica stat,45.32338333,22.54116111,1415.0,1525.0,Caras Severin,O.S. Oțelu Rosu,VII,67B,1141.0,5.95,,,POINT (22.54116111 45.32338333),89,0
55,Olteana,2011,,publica stat,45.32413889,22.54094444,1400.0,1485.0,Caras Severin,O.S. Oțelu Rosu,VII,67C,4114.0,4.5,,,POINT (22.54094444 45.32413889),0,0
56,Olteana,2011,,publica stat,45.32261667,22.54233889,1360.0,1525.0,Caras Severin,O.S. Oțelu Rosu,VII,69B,1141.0,15.2,,,POINT (22.54233889 45.32261667),83,0
57,Olteana,2011,,publica stat,45.32046944,22.54378056,1495.0,1590.0,Caras Severin,O.S. Oțelu Rosu,VII,69D,1141.0,12.7,,,POINT (22.54378056 45.32046944),39,0
58,Olteana,2011,,publica stat,45.32458889,22.53536667,1255.0,1535.0,Caras Severin,O.S. Oțelu Rosu,VII,70A,4114.0,16.7,,,POINT (22.53536667 45.32458889),96,0
59,Olteana,2011,,publica stat,45.32173889,22.53641111,1360.0,1515.0,Caras Severin,O.S. Oțelu Rosu,VII,70B,1141.0,5.99,,,POINT (22.53641111 45.32173889),85,0
60,Olteana,2011,,publica stat,45.32116667,22.53611389,1470.0,1555.0,Caras Severin,O.S. Oțelu Rosu,VII,70C,1141.0,2.87,,,POINT (22.53611389 45.32116667),64,0
61,Olteana,2011,,publica stat,45.32686389,22.52678056,1300.0,1465.0,Caras Severin,O.S. Oțelu Rosu,VII,72C,4114.0,3.67,,,POINT (22.52678056 45.32686389),85,0
62,Olteana,2011,,publica stat,45.32585,22.52303889,1325.0,1455.0,Caras Severin,O.S. Oțelu Rosu,VII,76D,4114.0,6.02,,,POINT (22.52303889 45.32585),87,0
63,Olteana,2011,,publica stat,45.32291389,22.512875,1330.0,1435.0,Caras Severin,O.S. Oțelu Rosu,VII,81B,4114.0,6.47,,,POINT (22.512875 45.32291389),89,0
64,Olteana,2011,,publica stat,45.31747778,22.512425,1090.0,1300.0,Caras Severin,O.S. Oțelu Rosu,VII,84A,4114.0,8.18,,,POINT (22.512425 45.31747778),87,0
65,Olteana,2011,,publica stat,45.31759167,22.51543056,1275.0,1440.0,Caras Severin,O.S. Oțelu Rosu,VII,84B,4114.0,13.1,,,POINT (22.51543056 45.31759167),90,0
66,Olteana,2011,,publica stat,45.31613056,22.51090278,1090.0,1370.0,Caras Severin,O.S. Oțelu Rosu,VII,87A,4114.0,14.1,,,POINT (22.51090278 45.31613056),90,0
67,Olteana,2011,,publica stat,45.31473056,22.51453333,1275.0,1470.0,Caras Severin,O.S. Oțelu Rosu,VII,87B,4114.0,13.8,,,POINT (22.51453333 45.31473056),90,0
68,Olteana,2011,,publica stat,45.31325,22.50654167,1345.0,1460.0,Caras Severin,O.S. Oțelu Rosu,VII,88B,4114.0,11.7,,,POINT (22.50654167 45.31325),85,0
69,Olteana,2011,,publica stat,45.30692778,22.50775,1165.0,1370.0,Caras Severin,O.S. Oțelu Rosu,VII,90A,4114.0,23.3,,,POINT (22.50775 45.30692778),89,0
70,Olteana,2011,,publica stat,45.30858889,22.51234444,1245.0,1425.0,Caras Severin,O.S. Oțelu Rosu,VII,90B,4114.0,13.8,,,POINT (22.51234444 45.30858889),90,0
71,Olteana,2011,,publica stat,45.30903889,22.49831389,1185.0,1365.0,Caras Severin,O.S. Oțelu Rosu,VII,93A,4114.0,14.6,,,POINT (22.49831389 45.30903889),87,0
72,Olteana,2011,,publica stat,45.30598611,22.50619167,1245.0,1490.0,Caras Severin,O.S. Oțelu Rosu,VII,93B,4114.0,30.6,,,POINT (22.50619167 45.30598611),90,0
73,Olteana,2011,,publica stat,45.309725,22.49556389,1185.0,1365.0,Caras Severin,O.S. Oțelu Rosu,VII,94A,4114.0,12.0,,,POINT (22.49556389 45.309725),89,0
74,Olteana,2011,,publica stat,45.30575,22.500275,1300.0,1425.0,Caras Severin,O.S. Oțelu Rosu,VII,94B,4114.0,7.04,,,POINT (22.500275 45.30575),78,0
75,Olteana,2011,,publica stat,45.30606944,22.49622778,1180.0,1405.0,Caras Severin,O.S. Oțelu Rosu,VII,97A,4114.0,36.8,,,POINT (22.49622778 45.30606944),90,0
76,Olteana,2011,,publica stat,45.30308889,22.5007,1320.0,1490.0,Caras Severin,O.S. Oțelu Rosu,VII,97B,1141.0,14.0,,,POINT (22.5007 45.30308889),85,0
77,Gâsca,2012,,publica stat,44.31603611,23.82188333,975.0,1095.0,Caras Severin,OS Baile Herculane,V,162C,4111.0,2.06,,,POINT (23.82188333 44.31603611),0,0
78,Gâsca,2012,,publica stat,44.31623611,23.82300833,975.0,1100.0,Caras Severin,OS Baile Herculane,V,163B,4111.0,3.19,,,POINT (23.82300833 44.31623611),0,0
143,Valea Buţii,2009,,privata PJ,45.30483333,22.94621667,1000.0,1300.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,7A,1341.0,34.7,,,POINT (22.94621667 45.30483333),90,0
144,Valea Buţii,2009,,privata PJ,45.31491111,22.90995556,1400.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,11A,1151.0,37.3,,,POINT (22.90995556 45.31491111),85,0
145,Valea Buţii,2009,,privata PJ,45.325025,22.91724167,1400.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,13A,1151.0,20.9,,,POINT (22.91724167 45.325025),95,0
146,Valea Buţii,2009,,privata PJ,45.32068889,22.91996111,1350.0,1850.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,14A,1151.0,33.5,,,POINT (22.91996111 45.32068889),95,0
147,Valea Buţii,2009,,privata PJ,45.31609167,22.91790833,1200.0,1500.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,15B,1151.0,19.0,,,POINT (22.91790833 45.31609167),96,0
148,Valea Buţii,2009,,privata PJ,45.31183056,22.93698333,1300.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,18D,1114.0,41.2,,,POINT (22.93698333 45.31183056),96,0
